"year","ID","issued_credits","vintage_credits","retired_credits"
2018,"897",NA,NA,33
2020,"897",NA,NA,30
2009,"943",NA,11789,NA
2010,"943",NA,18737,NA
2011,"943",NA,16861,NA
2012,"943",NA,14832,NA
2013,"943",35034,14811,12276
2014,"943",34091,17383,10938
2015,"943",NA,16057,26243
2016,"943",25288,NA,29860
2017,"943",NA,NA,700
2018,"943",NA,NA,48
2019,"943",NA,NA,26
2020,"943",NA,NA,16
2021,"943",16057,NA,NA
2023,"943",NA,NA,11991
2011,"963",NA,78738,NA
2012,"963",NA,84317,NA
2013,"963",163055,60562,NA
2014,"963",60562,60387,183361
2015,"963",56528,90921,30617
2016,"963",44191,98882,56297
2017,"963",29343,105177,70750
2018,"963",30000,77342,30956
2019,"963",106259,99848,108821
2020,"963",37103,105177,33449
2021,"963",51943,NA,64262
2022,"963",282367,NA,NA
2023,"963",NA,NA,239445
2009,"977",NA,1366965,NA
2012,"977",NA,955973,NA
2013,"977",NA,955999,NA
2014,"977",NA,955999,NA
2015,"977",121875,950820,14401
2016,"977",270417,950820,116678
2017,"977",215330,950820,223302
2018,"977",485300,NA,230889
2019,"977",1618930,NA,566544
2020,"977",4075544,NA,2494461
2021,"977",3e+05,NA,1755034
2022,"977",NA,NA,644796
2023,"977",NA,NA,187974
2009,"981",NA,477611,NA
2012,"981",NA,1585465,NA
2013,"981",NA,1585465,NA
2014,"981",2000,1586184,NA
2015,"981",10000,1586184,6848
2016,"981",70000,1586184,3687
2017,"981",NA,1653262,9248
2018,"981",60000,NA,30105
2019,"981",25000,NA,30004
2020,"981",400427,NA,116482
2021,"981",9492928,NA,1454616
2022,"981",NA,NA,1559118
2023,"981",NA,NA,1480107
