id_registry,registry,project_developer,project_name,project_type,saleable_credits_registered,credits_retired_all_time,total_buffer_pool_credits,estimated_annual_emission_reductions,project_description,methodology_version,state,project_status,start,end,crediting_period_term,certification_date,area_hectares,afolu,redd_type,public_or_indigenous_land,document_size_pages,gold_standard_ggc,vcs,ccb-silver,ccb-gold,ccb-biodiversity_gold,ccb-community_gold,ccb-climate_gold,ccb-no_distinction,ccb,ccb_development,fsc_certification,fsc_development,social_carbon,cdm,corsia,sdg,michael_greene_association,vcs_project_validator,legal_issues,legal_issues_-_more_information,ccb_project_status,ccb_project_type,ccb_project_validator,ccb_standard_edition,proponent_information,auditor_site_visit_to_and_from_date,number_of_verifications_ccb,first_verification,second_verification,third_verification,fourth_verification,fifth_verification,sixth__verification,seventh_verification
55,VERRA,Cerâmica Lucevans Ltda.,Lucevans Ceramic Fuel Switching Project,Energy Production or Conservation,23370,23370,NA,9144,Energy industries (renewable/non-renewable sources),AMS-I.E.,SP,Registered,2007-01-09,2017-08-31,"CREDITING PERIOD HAS EXPIRED, 01/09/2007 - 31/08/2017",NA,NA,NA,NA,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,VERRA,Multiple Proponents,Irmãos Fredi Ceramic Fuel Switching Project,Energy Production or Conservation,183256,140097,NA,21743,Energy industries (renewable/non-renewable sources),AMS-I.E.,SP,Registered,2006-01-04,2027-03-31,"3rd, 01/04/2020 - 31/03/2027",NA,NA,NA,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,VERRA,Multiple Proponents,Tapajós Ceramic Fuel Switching Project,Energy Production or Conservation,38390,29918,NA,10622,Energy industries (renewable/non-renewable sources),AMS-I.E.,SP,Registered,2006-01-04,2026-03-31,"2nd, 01/04/2016 - 31/03/2026",NA,NA,NA,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,VERRA,Multiple Proponents,"Argibem, São Sebastião and Vulcão Ceramics Fuel Switching Project",Energy Production or Conservation,86643,81393,NA,20814,Energy industries (renewable/non-renewable sources),AMS-I.C.,RJ,Registered,2006-01-04,2016-03-31,"CREDITING PERIOD HAS EXPIRED, 01/04/2006 - 31/03/2016",NA,NA,NA,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,VERRA,Multiple Proponents,Gomes de Mattos Ceramic Fuel Switching Project,Energy Production or Conservation,608418,516057,NA,47997,Energy industries (renewable/non-renewable sources),AMS-I.E.,CE,Registered,2006-01-05,2016-04-30,"CREDITING PERIOD HAS EXPIRED, 01/05/2006 - 30/04/2016",NA,NA,NA,NA,0,44,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Earthood Services Private Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,VERRA,Multiple Proponents,Reunidas Ceramic Switching Non-Renewable Biomass Project,Energy Production or Conservation,80828,25790,NA,9654,Energy industries (renewable/non-renewable sources),AMS-I.E.,TO,Registered,2007-01-10,2017-09-30,"CREDITING PERIOD HAS EXPIRED, 01/10/2007 - 30/09/2017",NA,NA,NA,NA,0,45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,VERRA,EcoSecurities International Limited,Irani Wastewater Methane Avoidance Project,Waste Handling and Disposal,58479,58468,NA,55966,Waste handling and disposal,AMS-III.I.,SC,Registered,2008-01-01,2028-03-31,"3rd, 01/04/2021 - 31/03/2028",NA,NA,NA,NA,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,Det Norske Veritas Climate Change Services AS (DNV),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,VERRA,EcoSecurities International Limited,NOBRECEL Biomass energy project,Energy Production or Conservation,412030,410995,NA,76743,Energy industries (renewable/non-renewable sources),ACM0006,SP,Registered,2002-01-01,2031-12-31,"3rd, 01/01/2022 - 31/12/2031",NA,NA,NA,NA,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,SGS United Kingdom Ltd. (SGS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,VERRA,Ceramic Sao Judas Tadeu Ltda,São Judas Tadeu Fuel Switching Project,Energy Production or Conservation,19566,19566,NA,16416,Energy industries (renewable/non-renewable sources),AMS-I.E.,TO,Registered,2001-01-12,2028-11-30,"3rd, 01/12/2021 - 30/11/2028",NA,NA,NA,NA,0,44,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,VERRA,Multiple Proponents,"Guaraí, Itabira and Santa Izabel Ceramics Fuel Switching Project",Energy Production or Conservation,297688,271932,NA,42304,Energy industries (renewable/non-renewable sources),AMS-I.C.,RJ,Registered,2006-01-04,2006-03-31,"2nd, 01/04/2016 - 31/03/2026",NA,NA,NA,NA,0,44,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,VERRA,RIMA Industrial S/A,RIMA Fuel Switch in Bocaiúva,Energy Production or Conservation,23686,19576,NA,28849,Energy industries (renewable/non-renewable sources),AMS-I.C.,MG,Registered,2006-04-01,2016-03-31,"CREDITING PERIOD HAS EXPIRED, 01/04/2006 - 31/03/2016",NA,NA,NA,NA,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,SGS United Kingdom Ltd. (SGS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
