id_registry;registry;project developer;project name;project type;saleable credits registered;credits retired (all time);total buffer pool credits;estimated annual emission reductions;project description;protocol/methodology version;state;project status;document size (pages);gold standard ggc;vcs;ccb-silver;ccb-gold;ccb-biodiversity gold;ccb-community gold;ccb-climate gold;ccb-no distinction;ccb;ccb_development;fsc certification;fsc_development;social carbon;cdm;corsia;sdg;michael_greene_association;area in hectares (ha);afolu;redd type;public_or_indigenous_land;vcs project validator;project_start_crediting;project_end_crediting;crediting period term;certification date;legal issues;legal issues - more information;ccb project status;ccb project type;ccb project validator;ccb standard edition;proponent information;auditor site visit to and from date;number of verification (ccb);first verification;second verification;third verification;fourth verification;fifth verification;sixth  verification;seventh verification
1144;VERRA;Multiple Proponents;Composting Project in Santa Catarina;Waste Handling and Disposal;70864;56538;NA;18077;Waste handling and disposal;AMS-III.D.//AMS-III.F.;SC;Crediting Period Renewal and Verification Approval Requested;72;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;0;NA;NA;NA;0;TÜV Rheinland (China) Ltd.;01/01/2011;12/31/2020;CREDITING PERIOD HAS EXPIRED, 01/01/2011 - 31/12/2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1147;VERRA;Empresa Brasileira de Conservação de Florestas S.A;Amazon Rio REDD+ IFM;REDD+;182347;179300;20440;61238;Agriculture Forestry and Other Land Use;VM0011;AM;Registered;305;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1, 2, 3, 4, 5, 6, 7, 8, 13, 15;0;18559;REDD;APD;0;Rainforest Alliance, Inc. (Rainforest Alliance);06/05/2013;06/04/2049;1st, 05/06/2013 - 04/06/2049;11/17/2017;NA;NA;Verification public comment period requested ;Reduced Emissions from Deforestation and Degradation;Rainforest Alliance, Inc. (Rainforest Alliance);CCB Third Edition;NA;21-Nov-2016 to 25-Nov-2016;NA;NA;NA;NA;NA;NA;NA;NA
1229;VERRA;Multiple Proponents;Fronteira and Novicel Ceramics Fuel Switching Project;Energy Production or Conservation;43527;27832;NA;23713;Energy industries (renewable/non-renewable sources);AMS-I.E.;AM;Registered;58;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;0;NA;NA;NA;0;Bureau Veritas Certification Holding SAS (Bureau Veritas);01/01/2011;12/31/2030;2nd, 01/01/2021 - 31/12/2030;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1260;VERRA;Pequena Central Hidrelétrica Zé Tunin S.A.;Zé Tunin Small Hydropower Plant Project;Energy Production or Conservation;0;0;NA;18479;Energy industries (renewable/non-renewable sources);AMS-I.D.;MG;Registered;47;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;NA;NA;0;Det Norske Veritas Climate Change Services AS (DNV);01/01/2013;12/31/2022;CREDITING PERIOD HAS EXPIRED, 01/01/2013 - 31/12/2022;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1294;VERRA;CPFL Energias Renováveis S.A.;Electric Power Generation from Renewable Sources - Barra da Paciência, Ninho da Águia, Corrente Grande, Paiol, São Gonçalo and Várzea Alegre Small Hydropower Plants;Energy Production or Conservation;106863;99487;NA;79670;Energy industries (renewable/non-renewable sources);ACM0002;MG;Registered;75;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;NA;0;NA;NA;NA;0;Tuev Nord Cert GmbH (Tuev Nord);01/03/2011;01/02/2025;2nd, 03/01/2018 - 02/01/2025;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1317;VERRA;Land Conservation Organization (OCT);Reforestation Grouped Project at Pratigi Environmental Protection Area;Forestry, non REDD+;1358;1358;185;1636;Agriculture Forestry and Other Land Use;AR-AMS0007;BA;Registered;117;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;NA;0;170900;ARR;NA;0;Rainforest Alliance, Inc. (Rainforest Alliance);05/01/2011;04/30/2111;1st, 01/05/2011 - 30/04/2111;10/28/2014;NA;NA;Verification approval requested ;Afforestation, Reforestation and Revegetation;Rainforest Alliance, Inc. (Rainforest Alliance);CCB Second Edition;NA;19-Nov-2012 to 22-Nov-2012;2;Rainforest Alliance, Inc. (Rainforest Alliance);Earthood Services Private Limited;NA;NA;NA;NA;NA
1329;VERRA;Multiple Proponents;Maísa REDD+ Project;REDD+;634948;421306;0;67458;Agriculture Forestry and Other Land Use;VM0015;PA;Registered;220;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;13, 15;0;28752;REDD;AUD;0;Rainforest Alliance, Inc. (Rainforest Alliance);05/21/2012;05/20/2042;1st, 21/05/2012 - 20/05/2042;12/29/2014;NA;NA;Validation approved;Reduced Emissions from Deforestation and Degradation;Rainforest Alliance, Inc. (Rainforest Alliance);CCB Second Edition;www.biofilica.com.br;10-Jun-2014 to 13-Jun-2014;NA;NA;NA;NA;NA;NA;NA;NA
1382;VERRA;Multiple Proponents;The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil;REDD+;10495589;3576803;4503981;1259646;Agriculture Forestry and Other Land Use;VM0007;AC;Registered;158;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;NA;0;39301;REDD;APD;0;Aster Global Environmental Solutions Inc.;08/02/2012;08/01/2042;1st, 02/08/2012 - 01/08/2042;04/06/2015;NA;https://www.wrm.org.uy/pt/artigos-do-boletim/projeto-envira-redd-no-acre-brasil-certificadoras-de-carbono-atribuem-nivel-ouro-a-promessas-vazias;Verification approved;Reduced Emissions from Deforestation and Degradation;Aster Global Environmental Solutions Inc.;CCB Third Edition;CarbonCo, LLC;11-Oct-2015 to 22-Nov-2015;4;Aster Global Environmental Solutions Inc.;Rainforest Alliance, Inc. (Rainforest Alliance);SCS Global Services;SCS Global Services;NA;NA;NA
1450;VERRA;Credits transferred from approved GHG program;Koblitz Biomass Power Plant;Energy Production or Conservation;7616;0;NA;24279;Agriculture Forestry and Other Land Use//Energy industries (renewable/non-renewable sources)//Waste handling and disposal;AMS-III.E.;RS;Units Transferred from Approved GHG Program;36;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;NA;0;NA;NA;NA;0;Tuev Sued Industrie Service GmbH (Tuev Sued);02/01/2009;01/31/2016;CREDITING PERIOD HAS EXPIRED, 01/02/2009 - 31/01/2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1503;VERRA;Multiple Proponents;RESEX Rio Preto-Jacundá REDD+ Project;REDD+;1211526;1030346;154063;414290;Agriculture Forestry and Other Land Use;VM0015;RO;Registered;234;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;NA;0;94289;REDD;AUD;1;Rainforest Alliance, Inc. (Rainforest Alliance);10/01/2012;09/30/2042;1st, 01/10/2012 - 30/09/2042;06/14/2016;NA;NA;Verification approved;Reduced Emissions from Deforestation and Degradation;Rainforest Alliance, Inc. (Rainforest Alliance);CCB Third Edition;www.biofilica.com.br;23-Nov-2015 to 27-Nov-2015;1;Earthood Services Private Limited;NA;NA;NA;NA;NA;NA
